"RegionName","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08"
"New York","NY","New York","Queens",1,,,,,,,,,,,,,,,2800,2805,2600,2650,2750,2650,2695,2775,2790,2750,2800,2800,2860,2950,2990,2995,3000,3099,3100,3100,3095,3000,3100,3004,3000,3195,3200,3150,3195,3200,3200,3100,3100,3050,3095,3100,3100,3199,3200,2695,2639.5,2650,2645,2600,2595,2580,2600,2600,2650,2700,2650,2600,2600,2600,2575,2500,2500,2500,2500,2500,2599,2600,2600,2600,2620,2671,2700,2630,2500,2500,2500,2550,2600,2600,2650,2675,2750
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,1850,1850,2000,2100,2250,2397,2550,2400,2399,2200,2250,2125,2100,2000,2100,2200,2200,2195,2000,1965,1895,1895,1850,1895,1950,1999,1999,1995,1987.5,1959,1995,2000,1995,1915,1876.5,1937,1980,2005,2015,2100,2099,2073,2006.5,2100,2111,1950,2199,2188,2100,2147,2196,2247.5,2295,2350,2395,2395,2400,2431.5,2490,2495,2500,2495,2500,2540,2593,2595,2600,2600,2596.5,2575,2503,2650,2695,2695,2695,2650,2700,2600,2659,2780,2650,2646,2600,2620,2795,2815,2800,2800,2810,2850,2895
"Chicago","IL","Chicago","Cook",3,1612.5,1562.5,1600,1600,1625,1500,1500,1619,1720,1800,1900,1600,1695,1685,1750,1775,1836,1800,1750,1750,1750,1700,1700,1728,1690,1600,1576.5,1600,1700,1700,1800,1800,1875,1750,1800,1730,1900,1681,1750,1800,1850,1947,2000,2000,1860,1950,2000,1800,1700,1700,1695,1750,1800,1900,1790,1995,1987,1850,1695,1750,1937,1695,1750,1762.5,1765,1770,1795,1895,1950,2059,1900,1825,2022,1800,1795,1800,1800,1775,1750,1775,1750,1700,1750,1750,1725,1750,1750,1775,1750,1750,1745
"Houston","TX","Houston","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1465,1345.5,1515,1325,1275,1325,1434,1435,1450,1463,1500,1527,1450,1450,1435,1449,1450,1500,1505,1529,1550,1525.5,1505,1550,1725.5,1709,1745,1650,1693.5,1647.5,1600,1600,1570,1499,1549,1484,1490,1450,1558,1594,1551,1579,1595,1579,1587,1575
"Philadelphia","PA","Philadelphia","Philadelphia",5,,1650,1475,1550,1750,1725,1770,1500,1550,1445,1472.5,1325,1350,1350,1250,1297.5,1297.5,1350,1350,1300,1250,1200,1325,1325,1400,1450,1500,1500,1400,1395,1250,1250,1250,1200,1200,1275,1285,1345,1350,1395,1330,1300,1300,1400,1372.5,1375,1395,1295,1250,1225,1250,1350,1379,1350,1320,1300,1349.5,1300,1299,1287,1300,1350,1350,1390,1392.5,1350,1365,1350,1322.5,1310,1322.5,1395,1400,1425,1430,1500,1480,1475,1450,1450,1470,1450,1497,1400,1495,1550,1550,1575,1550,1540,1600
"Phoenix","AZ","Phoenix","Maricopa",6,950,950,900,850,885,825,900,895,895,900,900,850,837,850,895,895,875,850,850,850,825,795,795,780,785,810,795,795,795,795,800,815,800,799,795,789,795,799,799,800,795,795,790,800,799,775,795,800,800,800,825,825,847,835,846,838,850,850,875,890,900,900,909,900,900,910,925,915,905,920,995,975,965,1043,1039.5,1025,1048,1000,978,975,975,931,954,1000,1095,1195,1227,1150,1153,1150,1125
"Las Vegas","NV","Las Vegas","Clark",7,975,985,950,970,877.5,900,1050,975,900,875,800,895,850,850,895,900,895,895,895,875,850,800,825,800,825,800,800,800,800,800,795,800,800,820,800,800,800,824,825,803,800,825,825,825,810,822.5,830,850,850,850,850,875,875,870,875,875,895,895,895,875,895,900,925,925,925,930,925,895,900,925,963,930,950,980,995,950,995,979.5,963.5,986,995,995,980,1000,1014,1050,1057,1050,1050,1050,1050
"San Antonio","TX","San Antonio","Bexar",8,,,,,,,,,,,,825,805,802.5,795,825,845,830,850,835,815,838,850,875,925,925.5,880,860,875,882,900,895,887,899,860,905,899,926,926,926,925,926,939,950,950,958,979,998,990,989,999,975,993,959.5,985,975,950,950,950,950,980,975,972.5,972,985,987,988,991,994,1045,1065,1012.5,1020,1050,1036,1000,1029,1005,1025,1057.5,980,1020,979,1050,1051,1066,1095,1149,1125,1111,1100
"San Diego","CA","San Diego","San Diego",9,,,,,,,,,2055,1800,1900,1700,1750,1750,1800,1850,1800,1800,1800,1892.5,1800,1700,1750,1750,1750,1755,1695,1655,1745,1745,1700,1740,1700,1720,1720,1718,1720,1728,1750,1743,1786.5,1760,1779,1950,1895,1800,1950,1980,1912,1927.5,1950,2015,2055,2050,2066,2075,2135,2145,2100,2095,2100,2115,2125,2120,2150,2173,2245,2250,2215,2255,2222.5,2212.5,2245,2245,2240,2200,2190,2218,2213,2310,2200,2170,2195,2200,2225,2286,2290,2350,2395,2395,2400
"Dallas","TX","Dallas-Fort Worth","Dallas",10,,,,,,,,,,,,,,,,,,,1178,1169,1195,1195,1367,1233.5,1100,1240,1100,1270,1350,1332,1250,1318.5,1320,1350,1405.5,1495,1429.5,1471,1454.5,1459,1511,1505,1418,1564,1560,1596.5,1599,1600,1570,1570,1600,1529,1578,1533,1512,1517,1539,1595.5,1600,1588,1522,1486,1549,1550,1525,1539.5,1569,1600.5,1580,1580,1607,1664.5,1705,1699,1652,1690.5,1667.5,1650,1599.5,1695,1699,1600,1597,1710.5,1703,1759,1800,1775,1802.5,1821,1830
